city_name,Lat,Lng,Max_temperature,humidity,cloudiness,wind_speed,country,date
Henties Bay,-22.116,14.2845,68.0,89,52,11.43,NA,1612912500
Bethel,41.3712,-73.414,27.0,91,100,3.47,US,1612912501
Saint-François,46.4154,3.9054,37.4,93,75,4.61,FR,1612912501
Ushuaia,-54.8,-68.3,69.8,68,40,2.3,AR,1612912501
Mar del Plata,-38.0023,-57.5575,66.2,82,75,13.8,AR,1612912502
Kruisfontein,-34.0033,24.7314,64.0,90,5,1.01,ZA,1612912502
Brønnøysund,65.4625,12.1997,21.2,68,21,12.66,NO,1612912502
Yumen,40.2833,97.2,32.11,76,44,15.84,CN,1612912503
Albany,42.6001,-73.9662,26.01,73,94,3.24,US,1612912503
Dikson,73.5069,80.5464,-26.99,87,100,9.91,RU,1612912503
Ossora,59.2353,163.0719,28.6,97,100,42.84,RU,1612912504
Vaini,-21.2,-175.2,77.0,100,90,21.85,TO,1612912504
Castro,-24.7911,-50.0119,61.92,84,93,6.33,BR,1612912505
Vanimo,-2.6741,141.3028,81.72,76,55,3.56,PG,1612912506
San Cristobal,7.7669,-72.225,84.2,61,40,11.5,VE,1612912506
Ulladulla,-35.35,150.4667,64.0,94,75,8.05,AU,1612912507
‘Ewa Beach,21.3156,-158.0072,78.8,41,20,11.5,US,1612912507
Bluff,-46.6,168.3333,53.71,91,100,15.1,NZ,1612912507
Departamento de Maldonado,-34.6667,-54.9167,69.01,88,75,12.66,UY,1612912507
Mataura,-46.1927,168.8643,50.0,92,100,8.52,NZ,1612912507
Jamestown,42.097,-79.2353,21.0,79,90,4.61,US,1612912508
Geraldton,-28.7667,114.6,62.6,88,40,10.36,AU,1612912508
Punta Arenas,-53.15,-70.9167,68.0,56,0,8.05,CL,1612912508
Mitú,1.1983,-70.1733,75.54,96,100,2.46,CO,1612912509
Turan,16.0678,108.2208,69.8,73,75,2.3,VN,1612912509
Bredasdorp,-34.5322,20.0403,59.0,88,27,2.3,ZA,1612912509
Port Alfred,-33.5906,26.891,66.99,94,20,3.09,ZA,1612912510
Busselton,-33.65,115.3333,57.0,96,68,10.89,AU,1612912510
Qaanaaq,77.484,-69.3632,14.34,73,0,2.51,GL,1612912511
Sitka,57.0531,-135.33,17.6,45,1,17.27,US,1612912511
